Pavarde             Vardas              Galutinis (Vid.) 
--------------------------------------------------------------------------
Pavarde1            Vardas1             5                  
Pavarde100          Vardas100           6                  
Pavarde1000         Vardas1000          5                  
Pavarde1001         Vardas1001          6                  
Pavarde1002         Vardas1002          7                  
Pavarde1003         Vardas1003          6                  
Pavarde1007         Vardas1007          6                  
Pavarde1008         Vardas1008          7                  
Pavarde1009         Vardas1009          5                  
Pavarde1010         Vardas1010          6                  
Pavarde1012         Vardas1012          8                  
Pavarde1016         Vardas1016          6                  
Pavarde1018         Vardas1018          5                  
Pavarde1019         Vardas1019          6                  
Pavarde1021         Vardas1021          5                  
Pavarde1025         Vardas1025          6                  
Pavarde1027         Vardas1027          6                  
Pavarde1029         Vardas1029          7                  
Pavarde1030         Vardas1030          6                  
Pavarde1032         Vardas1032          5                  
Pavarde1036         Vardas1036          5                  
Pavarde1037         Vardas1037          7                  
Pavarde1039         Vardas1039          5                  
Pavarde104          Vardas104           7                  
Pavarde1043         Vardas1043          7                  
Pavarde1044         Vardas1044          6                  
Pavarde105          Vardas105           7                  
Pavarde1053         Vardas1053          5                  
Pavarde1054         Vardas1054          6                  
Pavarde1055         Vardas1055          6                  
Pavarde1056         Vardas1056          6                  
Pavarde1057         Vardas1057          7                  
Pavarde1058         Vardas1058          7                  
Pavarde106          Vardas106           6                  
Pavarde1060         Vardas1060          5                  
Pavarde1064         Vardas1064          6                  
Pavarde1068         Vardas1068          6                  
Pavarde1070         Vardas1070          5                  
Pavarde1071         Vardas1071          6                  
Pavarde1073         Vardas1073          7                  
Pavarde108          Vardas108           6                  
Pavarde1080         Vardas1080          5                  
Pavarde1085         Vardas1085          5                  
Pavarde1086         Vardas1086          6                  
Pavarde1087         Vardas1087          6                  
Pavarde1089         Vardas1089          5                  
Pavarde1090         Vardas1090          6                  
Pavarde1091         Vardas1091          7                  
Pavarde1092         Vardas1092          6                  
Pavarde1095         Vardas1095          5                  
Pavarde1099         Vardas1099          6                  
Pavarde11           Vardas11            6                  
Pavarde110          Vardas110           5                  
Pavarde1100         Vardas1100          5                  
Pavarde1102         Vardas1102          5                  
Pavarde1103         Vardas1103          8                  
Pavarde1105         Vardas1105          5                  
Pavarde1108         Vardas1108          7                  
Pavarde1109         Vardas1109          7                  
Pavarde111          Vardas111           7                  
Pavarde1110         Vardas1110          5                  
Pavarde1111         Vardas1111          5                  
Pavarde1113         Vardas1113          7                  
Pavarde1116         Vardas1116          5                  
Pavarde1118         Vardas1118          8                  
Pavarde112          Vardas112           8                  
Pavarde1121         Vardas1121          8                  
Pavarde1124         Vardas1124          6                  
Pavarde1125         Vardas1125          5                  
Pavarde113          Vardas113           6                  
Pavarde1131         Vardas1131          7                  
Pavarde1134         Vardas1134          6                  
Pavarde1136         Vardas1136          5                  
Pavarde1137         Vardas1137          6                  
Pavarde1138         Vardas1138          7                  
Pavarde114          Vardas114           5                  
Pavarde1140         Vardas1140          6                  
Pavarde1142         Vardas1142          6                  
Pavarde1143         Vardas1143          5                  
Pavarde1144         Vardas1144          6                  
Pavarde1147         Vardas1147          5                  
Pavarde1149         Vardas1149          6                  
Pavarde1151         Vardas1151          5                  
Pavarde1153         Vardas1153          6                  
Pavarde1155         Vardas1155          7                  
Pavarde1156         Vardas1156          5                  
Pavarde1158         Vardas1158          7                  
Pavarde1160         Vardas1160          6                  
Pavarde1161         Vardas1161          5                  
Pavarde1162         Vardas1162          7                  
Pavarde1163         Vardas1163          6                  
Pavarde1164         Vardas1164          6                  
Pavarde1169         Vardas1169          5                  
Pavarde1171         Vardas1171          5                  
Pavarde1172         Vardas1172          5                  
Pavarde1174         Vardas1174          6                  
Pavarde1175         Vardas1175          5                  
Pavarde1176         Vardas1176          6                  
Pavarde1177         Vardas1177          5                  
Pavarde1182         Vardas1182          7                  
Pavarde1183         Vardas1183          5                  
Pavarde1187         Vardas1187          7                  
Pavarde1188         Vardas1188          8                  
Pavarde119          Vardas119           7                  
Pavarde1193         Vardas1193          6                  
Pavarde1195         Vardas1195          7                  
Pavarde1196         Vardas1196          7                  
Pavarde1197         Vardas1197          5                  
Pavarde1198         Vardas1198          8                  
Pavarde1199         Vardas1199          5                  
Pavarde1202         Vardas1202          6                  
Pavarde1208         Vardas1208          5                  
Pavarde1209         Vardas1209          5                  
Pavarde121          Vardas121           7                  
Pavarde1212         Vardas1212          5                  
Pavarde1213         Vardas1213          6                  
Pavarde1214         Vardas1214          6                  
Pavarde1216         Vardas1216          7                  
Pavarde1217         Vardas1217          6                  
Pavarde122          Vardas122           6                  
Pavarde1222         Vardas1222          6                  
Pavarde1225         Vardas1225          7                  
Pavarde1226         Vardas1226          6                  
Pavarde1228         Vardas1228          6                  
Pavarde1230         Vardas1230          6                  
Pavarde1231         Vardas1231          5                  
Pavarde1237         Vardas1237          8                  
