Vardas                   Pavarde                  ND1       Egz.
Vardas0                  Pavarde0                 6         7
Vardas1                  Pavarde1                 3         10
Vardas2                  Pavarde2                 0         6
Vardas3                  Pavarde3                 9         5
Vardas4                  Pavarde4                 10        10
Vardas5                  Pavarde5                 1         7
Vardas6                  Pavarde6                 3         5
Vardas7                  Pavarde7                 7         8
Vardas8                  Pavarde8                 2         0
Vardas9                  Pavarde9                 6         3
Vardas10                 Pavarde10                3         6
Vardas11                 Pavarde11                2         0
Vardas12                 Pavarde12                1         10
Vardas13                 Pavarde13                10        0
Vardas14                 Pavarde14                7         8
Vardas15                 Pavarde15                5         3
Vardas16                 Pavarde16                0         3
Vardas17                 Pavarde17                0         4
Vardas18                 Pavarde18                9         9
Vardas19                 Pavarde19                3         7
Vardas20                 Pavarde20                10        6
Vardas21                 Pavarde21                9         0
Vardas22                 Pavarde22                6         3
Vardas23                 Pavarde23                9         8
Vardas24                 Pavarde24                0         7
Vardas25                 Pavarde25                2         4
Vardas26                 Pavarde26                3         2
Vardas27                 Pavarde27                10        9
Vardas28                 Pavarde28                5         7
Vardas29                 Pavarde29                10        9
Vardas30                 Pavarde30                8         3
Vardas31                 Pavarde31                7         7
Vardas32                 Pavarde32                1         6
Vardas33                 Pavarde33                5         0
Vardas34                 Pavarde34                7         8
Vardas35                 Pavarde35                7         9
Vardas36                 Pavarde36                9         1
Vardas37                 Pavarde37                5         0
Vardas38                 Pavarde38                3         5
Vardas39                 Pavarde39                3         1
Vardas40                 Pavarde40                4         7
Vardas41                 Pavarde41                6         6
Vardas42                 Pavarde42                7         8
Vardas43                 Pavarde43                6         5
Vardas44                 Pavarde44                3         8
Vardas45                 Pavarde45                10        8
Vardas46                 Pavarde46                6         10
Vardas47                 Pavarde47                4         1
Vardas48                 Pavarde48                4         4
Vardas49                 Pavarde49                1         9
Vardas50                 Pavarde50                6         6
Vardas51                 Pavarde51                3         4
Vardas52                 Pavarde52                1         8
Vardas53                 Pavarde53                1         5
Vardas54                 Pavarde54                1         5
Vardas55                 Pavarde55                9         8
Vardas56                 Pavarde56                6         1
Vardas57                 Pavarde57                9         1
Vardas58                 Pavarde58                1         8
Vardas59                 Pavarde59                8         4
Vardas60                 Pavarde60                2         2
Vardas61                 Pavarde61                0         9
Vardas62                 Pavarde62                3         3
Vardas63                 Pavarde63                5         9
Vardas64                 Pavarde64                9         10
Vardas65                 Pavarde65                4         8
Vardas66                 Pavarde66                4         3
Vardas67                 Pavarde67                3         5
Vardas68                 Pavarde68                2         1
Vardas69                 Pavarde69                3         4
Vardas70                 Pavarde70                7         6
Vardas71                 Pavarde71                2         9
Vardas72                 Pavarde72                5         7
Vardas73                 Pavarde73                3         3
Vardas74                 Pavarde74                10        10
Vardas75                 Pavarde75                8         6
Vardas76                 Pavarde76                1         1
Vardas77                 Pavarde77                0         3
Vardas78                 Pavarde78                5         8
Vardas79                 Pavarde79                6         5
