Vardas                   Pavarde                  ND1       ND2       ND3       ND4       ND5       Egz.
Vardas0                  Pavarde0                 6         7         3         10        0         6
Vardas1                  Pavarde1                 9         5         10        10        1         7
Vardas2                  Pavarde2                 3         5         7         8         2         0
Vardas3                  Pavarde3                 6         3         3         6         2         0
Vardas4                  Pavarde4                 1         10        10        0         7         8
Vardas5                  Pavarde5                 5         3         0         3         0         4
Vardas6                  Pavarde6                 9         9         3         7         10        6
Vardas7                  Pavarde7                 9         0         6         3         9         8
Vardas8                  Pavarde8                 0         7         2         4         3         2
Vardas9                  Pavarde9                 10        9         5         7         10        9
Vardas10                 Pavarde10                8         3         7         7         1         6
Vardas11                 Pavarde11                5         0         7         8         7         9
Vardas12                 Pavarde12                9         1         5         0         3         5
Vardas13                 Pavarde13                3         1         4         7         6         6
Vardas14                 Pavarde14                7         8         6         5         3         8
Vardas15                 Pavarde15                10        8         6         10        4         1
Vardas16                 Pavarde16                4         4         1         9         6         6
Vardas17                 Pavarde17                3         4         1         8         1         5
Vardas18                 Pavarde18                1         5         9         8         6         1
Vardas19                 Pavarde19                9         1         1         8         8         4
Vardas20                 Pavarde20                2         2         0         9         3         3
Vardas21                 Pavarde21                5         9         9         10        4         8
Vardas22                 Pavarde22                4         3         3         5         2         1
Vardas23                 Pavarde23                3         4         7         6         2         9
Vardas24                 Pavarde24                5         7         3         3         10        10
Vardas25                 Pavarde25                8         6         1         1         0         3
Vardas26                 Pavarde26                5         8         6         5         4         9
Vardas27                 Pavarde27                4         3         0         8         1         2
Vardas28                 Pavarde28                10        5         1         2         4         4
Vardas29                 Pavarde29                4         1         0         8         6         6
Vardas30                 Pavarde30                7         9         5         8         4         10
Vardas31                 Pavarde31                7         10        0         10        4         9
Vardas32                 Pavarde32                2         8         10        9         9         3
Vardas33                 Pavarde33                10        4         2         0         2         9
Vardas34                 Pavarde34                0         7         5         7         2         7
Vardas35                 Pavarde35                8         3         6         5         10        3
Vardas36                 Pavarde36                8         8         1         9         0         6
Vardas37                 Pavarde37                4         0         6         2         2         1
Vardas38                 Pavarde38                4         3         5         3         9         2
Vardas39                 Pavarde39                4         3         3         3         1         6
Vardas40                 Pavarde40                6         9         6         8         5         2
Vardas41                 Pavarde41                10        3         0         10        4         3
Vardas42                 Pavarde42                6         3         4         2         3         7
Vardas43                 Pavarde43                4         9         4         4         7         5
Vardas44                 Pavarde44                2         6         8         4         0         0
Vardas45                 Pavarde45                6         1         7         2         8         9
Vardas46                 Pavarde46                9         10        1         6         9         3
Vardas47                 Pavarde47                10        10        8         7         5         2
Vardas48                 Pavarde48                6         2         9         4         0         7
Vardas49                 Pavarde49                4         8         5         7         0         8
Vardas50                 Pavarde50                0         3         4         10        1         9
Vardas51                 Pavarde51                6         5         9         0         8         7
Vardas52                 Pavarde52                0         3         8         8         3         1
Vardas53                 Pavarde53                2         1         1         10        3         3
Vardas54                 Pavarde54                1         5         2         10        4         0
Vardas55                 Pavarde55                4         1         3         5         9         3
Vardas56                 Pavarde56                8         9         5         7         7         5
Vardas57                 Pavarde57                7         3         8         7         9         5
Vardas58                 Pavarde58                0         1         3         5         2         8
Vardas59                 Pavarde59                10        3         2         7         7         10
Vardas60                 Pavarde60                7         2         10        5         6         4
Vardas61                 Pavarde61                8         1         4         10        3         0
Vardas62                 Pavarde62                0         6         7         6         6         2
Vardas63                 Pavarde63                10        6         4         3         3         5
Vardas64                 Pavarde64                10        3         3         4         6         9
Vardas65                 Pavarde65                2         1         8         3         1         1
Vardas66                 Pavarde66                9         8         4         3         10        3
Vardas67                 Pavarde67                9         5         3         3         8         0
Vardas68                 Pavarde68                5         3         8         3         0         5
Vardas69                 Pavarde69                2         4         3         5         10        7
Vardas70                 Pavarde70                1         9         0         5         3         3
Vardas71                 Pavarde71                5         8         0         8         3         10
Vardas72                 Pavarde72                4         3         1         7         1         9
Vardas73                 Pavarde73                7         6         10        6         7         0
Vardas74                 Pavarde74                9         10        0         0         9         0
Vardas75                 Pavarde75                5         5         2         8         8         0
Vardas76                 Pavarde76                5         10        8         9         6         2
Vardas77                 Pavarde77                9         4         1         10        2         3
Vardas78                 Pavarde78                8         10        7         10        6         4
Vardas79                 Pavarde79                7         7         9         5         6         3
Vardas80                 Pavarde80                1         0         4         1         3         9
Vardas81                 Pavarde81                6         5         10        7         6         3
Vardas82                 Pavarde82                9         5         8         7         6         2
Vardas83                 Pavarde83                1         8         2         1         3         0
Vardas84                 Pavarde84                9         6         0         9         5         1
Vardas85                 Pavarde85                1         2         9         1         4         7
Vardas86                 Pavarde86                0         7         4         6         0         2
Vardas87                 Pavarde87                3         3         6         0         3         6
Vardas88                 Pavarde88                6         8         10        7         5         2
Vardas89                 Pavarde89                2         6         7         5         5         6
Vardas90                 Pavarde90                6         3         2         5         4         5
Vardas91                 Pavarde91                8         9         5         8         9         4
Vardas92                 Pavarde92                2         5         6         4         10        0
Vardas93                 Pavarde93                1         9         7         1         1         6
Vardas94                 Pavarde94                6         1         1         0         4         8
Vardas95                 Pavarde95                10        9         5         4         10        10
Vardas96                 Pavarde96                7         10        9         5         1         1
Vardas97                 Pavarde97                6         8         1         8         4         4
Vardas98                 Pavarde98                9         10        3         0         10        0
Vardas99                 Pavarde99                8         7         3         1         8         5
Vardas100                Pavarde100               6         7         7         0         3         6
Vardas101                Pavarde101               2         0         2         1         1         10
Vardas102                Pavarde102               7         0         0         10        10        9
Vardas103                Pavarde103               0         2         1         0         1         3
Vardas104                Pavarde104               1         4         6         3         1         7
Vardas105                Pavarde105               7         3         8         6         5         2
Vardas106                Pavarde106               1         7         0         2         3         1
Vardas107                Pavarde107               10        1         0         5         1         9
Vardas108                Pavarde108               5         2         9         2         0         2
Vardas109                Pavarde109               1         7         0         6         5         4
Vardas110                Pavarde110               8         2         9         7         10        2
Vardas111                Pavarde111               2         9         6         4         3         1
Vardas112                Pavarde112               3         0         3         0         3         10
Vardas113                Pavarde113               10        7         1         2         2         10
Vardas114                Pavarde114               0         8         0         3         0         0
Vardas115                Pavarde115               0         3         9         2         1         6
Vardas116                Pavarde116               10        4         1         5         2         3
Vardas117                Pavarde117               4         6         0         4         4         4
Vardas118                Pavarde118               8         0         2         8         6         9
Vardas119                Pavarde119               10        2         7         10        3         2
Vardas120                Pavarde120               0         10        1         1         3         8
Vardas121                Pavarde121               10        9         10        1         9         1
Vardas122                Pavarde122               10        5         1         6         4         6
Vardas123                Pavarde123               4         9         7         7         0         5
Vardas124                Pavarde124               7         4         2         0         6         10
Vardas125                Pavarde125               4         9         0         1         9         5
Vardas126                Pavarde126               10        1         10        7         2         8
Vardas127                Pavarde127               6         9         6         3         8         1
Vardas128                Pavarde128               2         6         1         5         2         0
Vardas129                Pavarde129               9         9         6         4         2         5
Vardas130                Pavarde130               7         8         9         2         3         8
Vardas131                Pavarde131               0         0         3         10        1         10
Vardas132                Pavarde132               3         5         1         9         6         6
Vardas133                Pavarde133               6         5         4         9         5         3
Vardas134                Pavarde134               2         5         2         6         0         10
Vardas135                Pavarde135               10        1         8         4         6         9
Vardas136                Pavarde136               3         5         9         10        6         8
Vardas137                Pavarde137               6         8         0         8         4         6
Vardas138                Pavarde138               9         3         2         7         4         2
Vardas139                Pavarde139               4         6         0         5         1         4
Vardas140                Pavarde140               1         5         4         9         9         4
Vardas141                Pavarde141               2         8         8         8         9         4
Vardas142                Pavarde142               5         3         5         7         10        9
Vardas143                Pavarde143               4         7         2         8         6         2
Vardas144                Pavarde144               9         2         6         6         4         3
Vardas145                Pavarde145               5         3         7         8         6         1
Vardas146                Pavarde146               1         9         0         4         2         1
Vardas147                Pavarde147               4         9         7         8         7         2
Vardas148                Pavarde148               2         1         6         2         1         8
Vardas149                Pavarde149               0         2         5         3         8         2
Vardas150                Pavarde150               7         2         1         6         4         5
Vardas151                Pavarde151               0         1         5         2         8         10
Vardas152                Pavarde152               4         0         0         2         6         10
Vardas153                Pavarde153               10        9         9         10        9         8
Vardas154                Pavarde154               0         1         10        10        10        5
Vardas155                Pavarde155               3         5         9         4         1         1
Vardas156                Pavarde156               5         10        6         2         6         6
Vardas157                Pavarde157               1         0         5         3         7         3
Vardas158                Pavarde158               3         4         4         7         2         7
Vardas159                Pavarde159               10        7         2         0         10        7
Vardas160                Pavarde160               6         9         7         0         0         6
Vardas161                Pavarde161               9         5         7         7         9         2
Vardas162                Pavarde162               2         6         7         10        5         1
Vardas163                Pavarde163               6         7         8         3         3         4
Vardas164                Pavarde164               9         7         8         1         4         5
Vardas165                Pavarde165               9         6         8         7         2         6
Vardas166                Pavarde166               4         8         2         4         4         1
Vardas167                Pavarde167               2         8         6         2         5         7
Vardas168                Pavarde168               9         3         3         1         2         2
Vardas169                Pavarde169               7         7         6         3         9         9
Vardas170                Pavarde170               3         10        10        4         1         2
Vardas171                Pavarde171               9         9         9         3         3         7
Vardas172                Pavarde172               4         9         10        2         0         0
Vardas173                Pavarde173               9         6         6         2         5         1
Vardas174                Pavarde174               3         7         2         9         8         8
Vardas175                Pavarde175               5         8         9         8         9         9
Vardas176                Pavarde176               2         10        6         1         2         2
Vardas177                Pavarde177               4         3         2         5         0         7
Vardas178                Pavarde178               6         0         2         9         8         1
Vardas179                Pavarde179               0         3         5         10        6         2
Vardas180                Pavarde180               2         6         1         6         3         0
Vardas181                Pavarde181               10        8         5         3         5         2
Vardas182                Pavarde182               1         5         5         4         9         0
Vardas183                Pavarde183               7         4         4         2         4         4
Vardas184                Pavarde184               5         9         3         10        1         1
Vardas185                Pavarde185               8         7         9         7         4         8
Vardas186                Pavarde186               4         7         6         2         7         0
Vardas187                Pavarde187               4         2         5         4         5         10
Vardas188                Pavarde188               2         9         5         8         4         10
Vardas189                Pavarde189               5         8         6         6         1         10
Vardas190                Pavarde190               7         8         2         3         4         7
Vardas191                Pavarde191               10        6         5         10        7         0
Vardas192                Pavarde192               4         9         8         6         5         1
Vardas193                Pavarde193               6         1         0         5         8         8
Vardas194                Pavarde194               5         10        10        5         3         6
Vardas195                Pavarde195               9         4         6         10        6         10
Vardas196                Pavarde196               7         5         8         7         8         7
Vardas197                Pavarde197               6         3         8         10        9         3
Vardas198                Pavarde198               6         1         6         1         9         10
Vardas199                Pavarde199               7         0         10        1         7         1
Vardas200                Pavarde200               10        5         6         10        2         7
