Pavarde             Vardas              Galutinis (Vid.) 
--------------------------------------------------------------------------
Vardas103                Pavarde103               2
Vardas105                Pavarde105               3
Vardas106                Pavarde106               1
Vardas108                Pavarde108               2
Vardas109                Pavarde109               3
Vardas110                Pavarde110               4
Vardas111                Pavarde111               2
Vardas114                Pavarde114               0
Vardas115                Pavarde115               4
Vardas116                Pavarde116               3
Vardas117                Pavarde117               3
Vardas119                Pavarde119               3
Vardas12                 Pavarde12                4
Vardas121                Pavarde121               3
Vardas125                Pavarde125               4
Vardas127                Pavarde127               3
Vardas128                Pavarde128               1
Vardas133                Pavarde133               4
Vardas138                Pavarde138               3
Vardas139                Pavarde139               3
Vardas140                Pavarde140               4
Vardas143                Pavarde143               3
Vardas144                Pavarde144               3
Vardas145                Pavarde145               2
Vardas146                Pavarde146               1
Vardas147                Pavarde147               4
Vardas149                Pavarde149               2
Vardas15                 Pavarde15                3
Vardas150                Pavarde150               4
Vardas155                Pavarde155               2
Vardas157                Pavarde157               3
Vardas161                Pavarde161               4
Vardas162                Pavarde162               3
Vardas163                Pavarde163               4
Vardas166                Pavarde166               2
Vardas168                Pavarde168               2
Vardas17                 Pavarde17                4
Vardas170                Pavarde170               3
Vardas172                Pavarde172               2
Vardas173                Pavarde173               2
Vardas176                Pavarde176               2
Vardas178                Pavarde178               2
Vardas179                Pavarde179               3
Vardas18                 Pavarde18                2
Vardas180                Pavarde180               1
Vardas181                Pavarde181               3
Vardas182                Pavarde182               1
Vardas183                Pavarde183               4
Vardas184                Pavarde184               2
Vardas186                Pavarde186               2
Vardas19                 Pavarde19                4
Vardas191                Pavarde191               3
Vardas192                Pavarde192               3
Vardas197                Pavarde197               4
Vardas199                Pavarde199               2
Vardas2                  Pavarde2                 2
Vardas20                 Pavarde20                3
Vardas22                 Pavarde22                1
Vardas25                 Pavarde25                3
Vardas27                 Pavarde27                2
Vardas28                 Pavarde28                4
Vardas3                  Pavarde3                 1
Vardas32                 Pavarde32                4
Vardas35                 Pavarde35                4
Vardas37                 Pavarde37                1
Vardas38                 Pavarde38                3
Vardas39                 Pavarde39                4
Vardas40                 Pavarde40                3
Vardas41                 Pavarde41                3
Vardas44                 Pavarde44                1
Vardas46                 Pavarde46                4
Vardas47                 Pavarde47                4
Vardas5                  Pavarde5                 3
Vardas52                 Pavarde52                2
Vardas53                 Pavarde53                3
Vardas54                 Pavarde54                1
Vardas55                 Pavarde55                3
Vardas60                 Pavarde60                4
Vardas61                 Pavarde61                2
Vardas62                 Pavarde62                3
Vardas65                 Pavarde65                1
Vardas66                 Pavarde66                4
Vardas67                 Pavarde67                2
Vardas68                 Pavarde68                4
Vardas70                 Pavarde70                3
Vardas73                 Pavarde73                2
Vardas74                 Pavarde74                2
Vardas75                 Pavarde75                2
Vardas76                 Pavarde76                4
Vardas77                 Pavarde77                3
Vardas79                 Pavarde79                4
Vardas8                  Pavarde8                 2
Vardas81                 Pavarde81                4
Vardas82                 Pavarde82                4
Vardas83                 Pavarde83                1
Vardas84                 Pavarde84                2
Vardas86                 Pavarde86                2
Vardas87                 Pavarde87                4
Vardas88                 Pavarde88                4
Vardas90                 Pavarde90                4
Vardas92                 Pavarde92                2
Vardas96                 Pavarde96                3
Vardas97                 Pavarde97                4
Vardas98                 Pavarde98                2
